D,A,"ID, HORARIO PARTIDA (primer horario), HORARIOS INTERMEDIOS, HORARIO LLEGADA (ultimo horario)"
MAIPU,DELTA,101 06.50 06:52 06:54 06:56 06:59 07:02 07:06 07:08 07:10 07:12 07:15
MAIPU,DELTA,103 07:20 07:22 07:24 07:26 07:29 07:32 07:36 07:38 07:40 07:42 07:45
MAIPU,DELTA,105 07:40 07:42 07:44 07:46 07:49 07:52 07:56 07:58 08:00 08:02 08:05
MAIPU,DELTA,107 08:00 08:02 08:04 08:06 08:09 08:12 08:16 08:18 08:20 08:22 08:25
MAIPU,DELTA,109 08:20 08:22 08:24 08:26 08:29 08:32 08:36 08:38 08:40 08:42 08:45
MAIPU,DELTA,111 08:40 08:42 08:44 08:46 08:49 08:52 08:56 08:58 09:00 09:02 09:05
MAIPU,DELTA,113 09:00 09:02 09:04 09:06 09:09 09:12 09:16 09:18 09:20 09:22 09:25
MAIPU,DELTA,115 09:20 09:22 09:24 09:26 09:29 09:32 09:36 09:38 09:40 09:42 09:45
MAIPU,DELTA,117 09:40 09:42 09:44 09:46 09:49 09:52 09:56 09:58 10:00 10:02 10:05
MAIPU,DELTA,119 10:00 10:02 10:04 10:06 10:09 10:12 10:16 10:18 10:20 10:22 10:25
MAIPU,DELTA,121 10:20 10:22 10:24 10:26 10:29 10:32 10:36 10:38 10:40 10:42 10:45
MAIPU,DELTA,123 10:40 10:42 10:44 10:46 10:49 10:52 10:56 10:58 11:00 11:02 11:05
MAIPU,DELTA,125 11:00 11:02 11:04 11:06 11:09 11:12 11:16 11:18 11:20 11:22 11:25
MAIPU,DELTA,127 11:20 11:22 11:24 11:26 11:29 11:32 11:36 11:38 11:40 11:42 11:45
MAIPU,DELTA,129 11:40 11:42 11:44 11:46 11:49 11:52 11:56 11:58 12:00 12:02 12:05
MAIPU,DELTA,131 12:00 12:02 12:04 12:06 12:09 12:12 12:16 12:18 12:20 12:22 12:25
MAIPU,DELTA,133 12:20 12:22 12:24 12:26 12:29 12:32 12:36 12:38 12:40 12:42 12:45
MAIPU,DELTA,135 12:50 12:52 12:54 12:56 12:59 13:02 13:06 13:08 13:10 13:12 13:15
MAIPU,DELTA,137 13:20 13:22 13:24 13:26 13:29 13:32 13:36 13:38 13:40 13:42 13:45
MAIPU,DELTA,139 13:50 13:52 13:54 13:56 13:59 14:02 14:06 14:08 14:10 14:12 14:15
MAIPU,DELTA,141 14:20 14:22 14:24 14:26 14:29 14:32 14:36 14:38 14:40 14:42 14:45
MAIPU,DELTA,143 14:50 14:52 14:54 14:56 14:59 15:02 15:06 15:08 15:10 15:12 15:15
MAIPU,DELTA,145 15:20 15:22 15:24 15:26 15:29 15:32 15:36 15:38 15:40 15:42 15:45
MAIPU,DELTA,147 15:50 15:52 15:54 15:56 15:59 16:02 16:06 16:08 16:10 16:12 16:15
MAIPU,DELTA,149 16:10 16:12 16:14 16:16 16:19 16:22 16:26 16:28 16:30 16:32 16:35
MAIPU,DELTA,151 16:30 16:32 16:34 16:36 16:39 16:42 16:46 16:48 16:50 16:52 16:55
MAIPU,DELTA,153 16:50 16:52 16:54 16:56 16:59 17:02 17:06 17:08 17:10 17:12 17:15
MAIPU,DELTA,155 17:10 17:12 17:14 17:16 17:19 17:22 17:26 17:28 17:30 17:32 17:35
MAIPU,DELTA,157 17:30 17:32 17:34 17:36 17:39 17:42 17:46 17:48 17:50 17:52 17:55
MAIPU,DELTA,159 17:50 17:52 17:54 17:56 17:59 18:02 18:06 18:08 18:10 18:12 18:15
MAIPU,DELTA,161 18:10 18:12 18:14 18:16 18:19 18:22 18:26 18:28 18:30 18:32 18:35
MAIPU,DELTA,163 18:30 18:32 18:34 18:36 18:39 18:42 18:46 18:48 18:50 18:52 18:55
MAIPU,DELTA,165 18:50 18:52 18:54 18:56 18:59 19:02 19:06 19:08 19:10 19:12 19:15
MAIPU,DELTA,167 19:10 19:12 19:14 19:16 19:19 19:22 19:26 19:28 19:30 19:32 19:35
MAIPU,DELTA,169 19:30 19:32 19:34 19:36 19:39 19:42 19:46 19:48 19:50 19:52 19:55
MAIPU,DELTA,171 19:50 19:52 19:54 19:56 19:59 20:02 20:06 20:08 20:10 20:12 20:15
MAIPU,DELTA,173 20:10 20:12 20:14 20:16 20:19 20:22 20:26 20:28 20:30 20:32 20:35
MAIPU,DELTA,175 20:30 20:32 20:34 20:36 20:39 20:42 20:46 20:48 20:50 20:52 20:55
MAIPU,DELTA,177 20:50 20:52 20:54 20:56 20:59 21:02 21:06 21:08 21:10 21:12 21:15
MAIPU,DELTA,179 21:20 21:22 21:24 21:26 21:29 21:32 21:36 21:38 21:40 21:42 21:45
DELTA,MAIPU,102 06:20 06:23 06:25 06:27 06:29 06:33 06:36 06:39 06:41 06:43 06:45
DELTA,MAIPU,104 06:50 06:53 06:55 06:57 06:59 07:03 07:06 07:09 07:11 07:13 07:15
DELTA,MAIPU,106 07:10 07:13 07:15 07:17 07:19 07:23 07:26 07:29 07:31 07:33 07:35
DELTA,MAIPU,108 07:30 07:33 07:35 07:37 07:39 07:43 07:46 07:49 07:51 07:53 07:55
DELTA,MAIPU,110 07:50 07:53 07:55 07:57 07:59 08:03 08:06 08:09 08:11 08:13 08:15
DELTA,MAIPU,112 08:10 08:13 08:15 08:17 08:19 08:23 08:26 08:29 08:31 08:33 08:35
DELTA,MAIPU,114 08:30 08:33 08:35 08:37 08:39 08:43 08:46 08:49 08:51 08:53 08:55
DELTA,MAIPU,116 08:50 08:53 08:55 08:57 08:59 09:03 09:06 09:09 09:11 09:13 09:15
DELTA,MAIPU,118 09:10 09:13 09:15 09:17 09:19 09:23 09:26 09:29 09:31 09:33 09:35
DELTA,MAIPU,120 09:30 09:33 09:35 09:37 09:39 09:43 09:46 09:49 09:51 09:53 09:55
DELTA,MAIPU,122 09:50 09:53 09:55 09:57 09:59 10:03 10:06 10:09 10:11 10:13 10:15
DELTA,MAIPU,124 10:10 10:13 10:15 10:17 10:19 10:23 10:26 10:29 10:31 10:33 10:35
DELTA,MAIPU,126 10:30 10:33 10:35 10:37 10:39 10:43 10:46 10:49 10:51 10:53 10:55
DELTA,MAIPU,128 10:50 10:53 10:55 10:57 10:59 11:03 11:06 11:09 11:11 11:13 11:15
DELTA,MAIPU,130 11:10 11:13 11:15 11:17 11:19 11:23 11:26 11:29 11:31 11:33 11:35
DELTA,MAIPU,132 11:30 11:33 11:35 11:37 11:39 11:43 11:46 11:49 11:51 11:53 11:55
DELTA,MAIPU,134 11:50 11:53 11:55 11:57 11:59 12:03 12:06 12:09 12:11 12:13 12:15
DELTA,MAIPU,136 12:20 12:23 12:25 12:27 12:29 12:33 12:36 12:39 12:41 12:43 12:45
DELTA,MAIPU,138 12:50 12:53 12:55 12:57 12:59 13:03 13:06 13:09 13:11 13:13 13:15
DELTA,MAIPU,140 13:20 13:23 13:25 13:27 13:29 13:33 13:36 13:39 13:41 13:43 13:45
DELTA,MAIPU,142 13:50 13:53 13:55 13:57 13:59 14:03 14:06 14:09 14:11 14:13 14:15
DELTA,MAIPU,144 14:20 14:23 14:25 14:27 14:29 14:33 14:36 14:39 14:41 14:43 14:45
DELTA,MAIPU,146 14:50 14:53 14:55 14:57 14:59 15:03 15:06 15:09 15:11 15:13 15:15
DELTA,MAIPU,148 15:20 15:23 15:25 15:27 15:29 15:33 15:36 15:39 15:41 15:43 15:45
DELTA,MAIPU,150 15:40 15:43 15:45 15:47 15:49 15:53 15:56 15:59 16:01 16:03 16:05
DELTA,MAIPU,152 16:00 16:03 16:05 16:07 16:09 16:13 16:16 16:19 16:21 16:23 16:25
DELTA,MAIPU,154 16:20 16:23 16:25 16:27 16:29 16:33 16:36 16:39 16:41 16:43 16:45
