A,D,"ID, HORARIO PARTIDA (primer horario), HORARIOS INTERMEDIOS, HORARIO LLEGADA (ultimo horario)"
MORENO,MERCEDES,2701 02:05 02:11 02:15 02:20 02:24 02:29 02:34 02:40 02:46 02:50 03:02 03:16 03:31 03:40
MORENO,MERCEDES,2703 03:25 03:31 03:35 03:40 03:44 03:49 03:54 04:00 04:06 04:10 04:22 04:36 04:51 05:00
MORENO,MERCEDES,2707 05:40 05:46 05:50 05:55 05:59 06:04 06:09 06:15 06:21 06:25 06:37 06:51 07:06 07:15
MORENO,MERCEDES,2711 07:00 07:06 07:10 07:15 07:19 07:24 07:29 07:35 07:41 07:45 07:57 08:11 08:26 08:35
MORENO,MERCEDES,2715 09:15 09:21 09:25 09:30 09:34 09:39 09:44 09:50 09:56 10:00 ---- ---- ---- ----
MORENO,MERCEDES,2717 10:35 10:41 10:45 10:50 10:54 10:59 11:04 11:10 11:16 11:20 11:32 11:46 12:01 12:10
MORENO,MERCEDES,2719 11:25 11:31 11:35 11:40 11:44 11:49 11:54 12:00 12:06 12:10 ---- ---- ---- ----
MORENO,MERCEDES,2723 13:35 13:41 13:45 13:50 13:54 13:59 14:04 14:10 14:16 14:20 14:32 14:46 15:01 15:10
MORENO,MERCEDES,2725 14:10 14:16 14:20 14:25 14:29 14:34 14:39 14:45 14:51 14:55 ---- ---- ---- ----
MORENO,MERCEDES,2729 16:20 16:26 16:30 16:35 16:39 16:44 16:49 16:55 17:01 17:05 ---- ---- ---- ----
MORENO,MERCEDES,2731 17:15 17:21 17:25 17:30 17:34 17:39 17:44 17:50 17:56 18:00 18:12 18:26 18:41 18:50
MORENO,MERCEDES,2733 18:30 18:36 18:40 18:45 18:49 18:54 18:59 19:05 19:11 19:15 19:27 19:41 19:56 20:05
MORENO,MERCEDES,2737 20:50 20:56 21:00 21:05 21:09 21:14 21:19 21:25 21:31 21:35 21:47 22:01 22:16 22:25
MORENO,MERCEDES,2741 22:45 22:51 22:55 23:00 23:04 23:09 23:14 23:20 23:26 23:30 ---- ---- ---- ----
MERCEDES,MORENO,2700 04:00 04:09 04:18 04:27 04:35 04:39 04:45 04:51 04:56 05:01 05:05 05:10 05:14 05:20
MERCEDES,MORENO,2704 05:20 05:29 05:38 05:47 05:55 05:59 06:05 06:11 06:16 06:21 06:25 06:30 06:34 06:40
MERCEDES,MORENO,2708 07:35 07:44 07:53 08:02 08:10 08:14 08:20 08:26 08:31 08:36 08:40 08:45 08:49 08:55
MERCEDES,MORENO,2710 08:55 09:04 09:13 09:22 09:30 09:34 09:40 09:46 09:51 09:56 10:00 10:05 10:09 10:15
MERCEDES,MORENO,2712 ---- ---- ---- ---- 10:20 10:24 10:30 10:36 10:41 10:46 10:50 10:55 10:59 11:05
MERCEDES,MORENO,2716 ---- ---- ---- ---- 12:30 12:34 12:40 12:46 12:51 12:56 13:00 13:05 13:09 13:15
MERCEDES,MORENO,2718 12:30 12:39 12:48 12:57 13:05 13:09 13:15 13:21 13:26 13:31 13:35 13:40 13:44 13:50
MERCEDES,MORENO,2722 ---- ---- ---- ---- 15:15 15:19 15:25 15:31 15:36 15:41 15:45 15:50 15:54 16:00
MERCEDES,MORENO,2724 15:30 15:39 15:48 15:57 16:05 16:09 16:15 16:21 16:26 16:31 16:35 16:40 16:44 16:50
MERCEDES,MORENO,2726 ---- ---- ---- ---- 17:25 17:29 17:35 17:41 17:46 17:51 17:55 18:00 18:04 18:10
MERCEDES,MORENO,2730 19:10 19:19 19:28 19:37 19:45 19:49 19:55 20:01 20:06 20:11 20:15 20:20 20:24 20:30
MERCEDES,MORENO,2734 20:40 20:49 20:58 21:07 21:15 21:19 21:25 21:31 21:36 21:41 21:45 21:50 21:54 22:00
MERCEDES,MORENO,2738 22:45 22:54 23:03 23:12 23:20 23:24 23:30 23:36 23:41 23:46 23:50 23:55 23:59 00:05
MERCEDES,MORENO,2740 ---- ---- ---- ---- 23:50 23:54 00:00 00:06 00:11 00:16 00:20 00:25 00:29 00:35
